u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
3,8,86,0.86,0.8270881175994873,6
3,8,87,0.87,0.8386240005493164,6
3,8,88,0.88,0.8506162166595459,6
3,8,89,0.89,0.8630648851394653,6
3,8,90,0.9,0.8755135536193848,6
3,8,91,0.91,0.8879622220993042,6
3,8,92,0.92,0.9004108905792236,6
3,8,93,0.93,0.9128594994544983,6
3,8,94,0.94,0.925308108329773,6
3,8,95,0.95,0.9377567768096924,6
3,8,96,0.96,0.9502054452896118,6
3,8,97,0.97,0.9626540541648865,6
3,8,98,0.98,0.9751026630401611,6
3,8,99,0.99,0.9875513315200806,6
3,8,100,1.0,1.0,6
4,18,0,0.0,0.0,6
4,18,1,0.01,0.00040459632873535156,6
4,18,2,0.02,0.0008091628551483154,6
4,18,3,0.03,0.001213759183883667,6
4,18,4,0.04,0.0016183555126190186,6
4,18,5,0.05,0.00202295184135437,6
4,18,6,0.06,0.002427518367767334,6
4,18,7,0.07,0.0028321146965026855,6
4,18,8,0.08,0.003236711025238037,6
4,18,9,0.09,0.003641277551651001,6
4,18,10,0.1,0.0040458738803863525,6
4,18,11,0.11,0.004450470209121704,6
4,18,12,0.12,0.004855066537857056,6
4,18,13,0.13,0.0052596330642700195,6
4,18,14,0.14,0.005664229393005371,6
4,18,15,0.15,0.006068825721740723,6
4,18,16,0.16,0.0064733922481536865,6
4,18,17,0.17,0.00892367959022522,6
4,18,18,0.18,0.015465348958969116,6
4,18,19,0.19,0.022007018327713013,6
4,18,20,0.2,0.02854865789413452,6
4,18,21,0.21,0.03509032726287842,6
4,18,22,0.22,0.041631996631622314,6
4,18,23,0.23,0.04817363619804382,6
4,18,24,0.24,0.05471530556678772,6
4,18,25,0.25,0.061256974935531616,6
4,18,26,0.26,0.06779864430427551,6
4,18,27,0.27,0.07434028387069702,6
4,18,28,0.28,0.08088195323944092,6
4,18,29,0.29,0.08742362260818481,6
4,18,30,0.3,0.09396526217460632,6
4,18,31,0.31,0.10050693154335022,6
4,18,32,0.32,0.10704860091209412,6
4,18,33,0.33,0.11359027028083801,6
4,18,34,0.34,0.12053513526916504,6
4,18,35,0.35,0.1276816427707672,6
4,18,36,0.36,0.13482815027236938,6
4,18,37,0.37,0.14197462797164917,6
4,18,38,0.38,0.1509903222322464,6
4,18,39,0.39,0.16187520325183868,6
4,18,40,0.4,0.17276005446910858,6
4,18,41,0.41,0.18364493548870087,6
4,18,42,0.42,0.19452981650829315,6
4,18,43,0.43,0.20541469752788544,6
4,18,44,0.44,0.21629954874515533,6
4,18,45,0.45,0.22718442976474762,6
4,18,46,0.46,0.2380693107843399,6
4,18,47,0.47,0.2489541620016098,6
4,18,48,0.48,0.2598390579223633,6
4,18,49,0.49,0.27072393894195557,6
4,18,50,0.5,0.28160879015922546,6
4,18,51,0.51,0.2968350052833557,6
4,18,52,0.52,0.31206125020980835,6
4,18,53,0.53,0.3272874653339386,6
4,18,54,0.54,0.34251371026039124,6
4,18,55,0.55,0.3577399253845215,6
4,18,56,0.56,0.37296614050865173,6
4,18,57,0.57,0.38819238543510437,6
4,18,58,0.58,0.4034186005592346,6
4,18,59,0.59,0.41864484548568726,6
4,18,60,0.6,0.4338710904121399,6
4,18,61,0.61,0.44909730553627014,6
4,18,62,0.62,0.4643235206604004,6
4,18,63,0.63,0.4805845618247986,6
4,18,64,0.64,0.4978804886341095,6
4,18,65,0.65,0.5151764154434204,6
4,18,66,0.66,0.5324723720550537,6
4,18,67,0.67,0.5495830178260803,6
4,18,68,0.68,0.5663232803344727,6
4,18,69,0.69,0.5830636024475098,6
4,18,70,0.7,0.5998039245605469,6
4,18,71,0.71,0.6165441274642944,6
4,18,72,0.72,0.6332844495773315,6
4,18,73,0.73,0.6500247120857239,6
4,18,74,0.74,0.6667649745941162,6
4,18,75,0.75,0.6835052967071533,6
4,18,76,0.76,0.699398398399353,6
4,18,77,0.77,0.715291440486908,6
4,18,78,0.78,0.7311845421791077,6
4,18,79,0.79,0.7470775842666626,6
4,18,80,0.8,0.7629706859588623,6
4,18,81,0.81,0.778863787651062,6
4,18,82,0.82,0.7947568893432617,6
4,18,83,0.83,0.8106499910354614,6
4,18,84,0.84,0.8230142593383789,6
4,18,85,0.85,0.8349093198776245,6
4,18,86,0.86,0.8468043804168701,6
4,18,87,0.87,0.8586994409561157,6
4,18,88,0.88,0.8700610399246216,6
