u_node_id,v_node_id,edge_distance,time_s,energy_J,mean_speed,mean_power_W,slowdown_idx,samples,energy_J_per_m
9,13,0.6603029370307922,5.0,383.1875,0.2261505884717742,76.6375,0.24419911827403407,5,580.3207565955906
13,11,0.5543110370635986,6.0,460.4565524193458,0.19657960563172042,76.74275873655763,0.3430260771382402,6,830.6826341733397
11,2,3.520909070968628,6.0,465.4062499999418,0.2981772513776882,77.56770833332364,0.003484222505088952,6,132.18354709509867
2,11,3.520909070968628,6.0,468.97580645163544,0.2982754294426116,78.16263440860591,0.003156108974468941,6,133.19736380542676
11,13,0.33970576524734497,4.0,309.47479838703293,0.2984215232610887,77.36869959675823,0.00266785980578077,4,911.0083785646075
12,15,0.46141088008880615,5.0,381.7381048387615,0.1871177902569648,76.3476209677523,0.37464769904642803,5,827.3279224913156
15,16,0.6603029370307922,5.0,384.76499402633635,0.21845395247470673,76.95299880526727,0.2699214668746588,5,582.7098024984151
16,18,0.4601086974143982,5.0,388.5118951612385,0.2953054,77.7023790322477,0.013082021114017017,5,844.3915477896828
18,4,1.4703060388565063,6.0,454.16229838714935,0.2496250238239248,75.69371639785822,0.16574697248450854,6,308.889636840751
4,18,1.4703060388565063,6.0,460.2161290323129,0.26685379624775984,76.70268817205215,0.1081679872738831,6,313.00703178110757
18,17,0.35468295216560364,5.0,376.484375,0.1827647128004032,75.296875,0.38919579198805343,5,1061.4673547213995
10,8,0.32557642459869385,4.0,308.5218749999767,0.20152168651209673,77.13046874999418,0.32650952012996315,4,947.6173693481074
8,3,1.5105297565460205,6.0,457.83296370966127,0.2546175524731183,76.30549395161022,0.1490618177802857,6,303.0943029924434
3,8,1.5105297565460205,6.0,458.3354838708765,0.2770307107694892,76.38924731181275,0.07415648626143778,6,303.4269810870241
8,7,0.3471311032772064,6.0,460.45000000001164,0.19981654407930108,76.7416666666686,0.3322081484770487,6,1326.4440888557106
7,1,3.510911464691162,6.0,461.4062499999418,0.29829869334677417,76.90104166665697,0.003078360429142224,6,131.4206452199812
1,7,3.510911464691162,6.0,463.6232862903271,0.2983674444556451,77.27054771505452,0.00284859251628633,6,132.05211551271907
7,10,0.48010414838790894,4.0,306.6312500000349,0.29865579112903223,76.65781250000873,0.001884930774517568,4,638.6765268111922
17,19,0.5200961232185364,5.0,388.48749999998836,0.29867903137096774,77.69749999999767,0.001807261308941266,5,746.9532700914825
19,22,4.365736484527588,6.0,464.4548387096729,0.29816337039650537,77.40913978494548,0.0035306130888503873,6,106.38636581839664
22,20,0.9209777116775513,6.0,450.234375,0.15045487002688174,75.0390625,0.49717608875258157,6,488.8656579754822
20,23,3.203617572784424,6.0,461.0218750000349,0.298392410047043,76.83697916667249,0.0027651568899683676,6,143.9066506928097
23,25,0.9280086159706116,6.0,453.9625000000233,0.1887623779032258,75.66041666667054,0.3691514462994454,6,489.1791866880679
26,27,0.42720019817352295,4.0,309.1743951612734,0.2989715376260081,77.29359879031836,0.0008296981420098382,4,723.7224993881931
