start_node,goal_node,mission,goal_is_operation_node,n_alpha_values,n_unique_routes,route_changed_across_alpha,min_pred_time_s,max_pred_time_s,range_pred_time_s,min_pred_energy_J,max_pred_energy_J,range_pred_energy_J,low_alpha,high_alpha,low_alpha_route,high_alpha_route
5,13,5->13,0,5,2,1,49.09321403503418,53.70203733444214,4.608823299407959,3777.0386352539062,4129.956512451172,352.9178771972656,0.0,1.0,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13
5,2,5->2,1,5,2,1,59.60138273239136,64.21020603179932,4.608823299407959,4584.608215332031,4937.526092529297,352.9178771972656,0.0,1.0,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13 -> 11 -> 2,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13 -> 11 -> 2
6,11,6->11,0,5,2,1,64.37272214889526,68.98154544830322,4.608823299407959,4951.306854248047,5304.2247314453125,352.9178771972656,0.0,1.0,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13 -> 11,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13 -> 11
6,12,6->12,0,5,2,1,54.90918445587158,59.51800775527954,4.608823299407959,4225.948425292969,4578.866302490234,352.9178771972656,0.0,1.0,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12
6,13,6->13,0,5,2,1,59.59624910354614,64.2050724029541,4.608823299407959,4585.488372802734,4938.40625,352.9178771972656,0.0,1.0,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13
6,2,6->2,1,5,2,1,70.10441780090332,74.71324110031128,4.608823299407959,5393.057952880859,5745.975830078125,352.9178771972656,0.0,1.0,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13 -> 11 -> 2,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13 -> 11 -> 2
1,10,1->10,0,5,1,0,10.817638874053955,10.817638874053955,0.0,832.3262023925781,832.3262023925781,0.0,0.0,1.0,1 -> 7 -> 10,1 -> 7 -> 10
1,11,1->11,0,5,1,0,24.858105182647705,24.858105182647705,0.0,1906.5382690429688,1906.5382690429688,0.0,0.0,1.0,1 -> 7 -> 10 -> 9 -> 13 -> 11,1 -> 7 -> 10 -> 9 -> 13 -> 11
1,12,1->12,0,5,1,0,24.736408233642578,24.736408233642578,0.0,1896.4935607910156,1896.4935607910156,0.0,0.0,1.0,1 -> 7 -> 10 -> 9 -> 13 -> 12,1 -> 7 -> 10 -> 9 -> 13 -> 12
1,13,1->13,0,5,1,0,20.081632137298584,20.081632137298584,0.0,1540.7197875976562,1540.7197875976562,0.0,0.0,1.0,1 -> 7 -> 10 -> 9 -> 13,1 -> 7 -> 10 -> 9 -> 13
1,14,1->14,0,5,1,0,29.594417572021484,29.594417572021484,0.0,2270.2980041503906,2270.2980041503906,0.0,0.0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14
