t_sec,timestamp_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Cumulative energy consumption,Heading,Position confidence,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Battery value,Going to ID,Current segment,Target reached,step_energy,energy_cum_from_start
1425,11:31:22,-2.9917631562499998,0.5905478000000001,0.0,216.46875,5313.5625,298709.91875,1.60533484375,34.25,0.0,0.0,45.0,5,20,0,60.934879032254685,100004.52500000002
1426,11:31:23,-3.018061703125,0.6566462375,0.0,217.3125,5341.96875,298769.05000000005,1.621388625,53.28125,0.0,0.0,45.0,5,20,0,59.131250000034925,100063.65625000006
1427,11:31:24,-3.01486521875,0.6825728,0.0,217.28125,5339.09375,298830.534375,1.62218,87.0625,0.0,0.0,45.0,5,20,0,61.48437499994179,100125.140625
1428,11:31:25,-3.013646,0.6825728,0.0,216.875,5320.9375,298892.51875,1.62218,89.46875,0.0,0.0,45.0,5,20,0,61.984375,100187.125
1429,11:31:26,-3.013646,0.6825728,0.0,216.625,5322.71875,298952.37187499995,1.62218,89.46875,0.0,0.0,45.0,5,20,0,59.853124999965075,100246.97812499997
1430,11:31:27,-3.013646,0.682125890625,0.0,216.75,5325.8125,299012.57187499997,1.62218,90.34375,0.0,0.0,45.0,5,20,0,60.20000000001164,100307.17812499998
1431,11:31:28,-3.013646,0.6812727,0.0,216.61290322580646,5322.419354838709,299072.30322580645,1.62218,91.0,0.0,0.0,45.0,5,20,0,59.73135080648353,100366.90947580646
1432,11:31:29,-3.013646,0.6812727,0.0,217.0,5332.0,299132.278125,1.62218,91.0,0.0,0.0,45.0,5,20,0,59.97489919356303,100426.88437500002
1433,11:31:30,-3.01591859375,0.6909096,0.0,217.0,5332.0,299193.890625,1.61959109375,91.5,0.0,0.0,45.0,5,20,0,61.61249999998836,100488.49687500001
1434,11:31:31,-3.017109,0.6959575,0.0,216.96774193548387,5332.4838709677415,299255.6419354839,1.618235,91.0,0.0,0.0,45.0,5,20,0,61.75131048390176,100550.24818548391
1435,11:31:32,-3.017109,0.69668875,0.0,217.09375,5339.96875,299316.175,1.618235,91.0,0.0,0.0,45.0,5,20,0,60.5330645160866,100610.78125
1436,11:31:33,-3.017109,0.6972575,0.0,218.0,5358.09375,299376.440625,1.618235,91.46875,0.0,0.0,45.0,5,20,0,60.265625,100671.046875
1437,11:31:34,-3.017109,0.6972575,0.0,217.25,5340.3125,299437.525,1.618235,92.0,0.0,0.0,45.0,5,20,0,61.084375000034925,100732.13125000003
1438,11:31:35,-3.0180315806451614,0.6972575,0.0,216.70967741935485,5324.8387096774195,299497.89032258064,1.618235,91.64516129032258,0.0,0.0,45.0,5,20,0,60.36532258061925,100792.49657258065
1439,11:31:36,-3.0176122258064515,0.6972575,0.0,216.61290322580646,5322.419354838709,299555.9741935484,1.618235,91.25806451612904,0.0,0.0,45.0,5,20,0,58.083870967733674,100850.58044354839
1440,11:31:37,-3.017109,0.6972575,0.0,217.0,5332.0,299616.159375,1.618235,92.0,0.0,0.0,45.0,5,20,0,60.18518145161215,100910.765625
1441,11:31:38,-3.017109,0.6972575,0.0,216.5,5319.625,299676.325,1.618235,92.5625,0.0,0.0,45.0,5,20,0,60.16562500002328,100970.93125000002
1442,11:31:39,-3.017109,0.6972575,0.0,221.53125,5444.28125,299736.75312500005,1.618235,92.0,0.0,0.0,45.0,5,20,0,60.428125000034925,101031.35937500006
1443,11:31:40,-3.017109,0.6972575,0.0,221.0,5431.0,299798.9125,1.618235,92.0,0.0,0.0,45.0,5,20,0,62.15937499993015,101093.51874999999
1444,11:31:41,-3.017109,0.6972575,0.0,221.0,5436.419354838709,299861.05806451617,1.618235,92.0,0.0,0.0,45.0,5,20,0,62.14556451619137,101155.66431451618
1445,11:31:42,-3.017109,0.6972575,0.0,221.8125,5449.625,299922.58437500003,1.618235,92.0,0.0,0.0,45.0,5,20,0,61.52631048386684,101217.19062500005
1446,11:31:43,-3.017109,0.6972575,0.0,221.25,5436.5,299984.6125,1.618235,91.5,0.0,0.0,45.0,5,20,0,62.028124999953434,101279.21875
1447,11:31:44,-3.017109,0.6972575,0.0,221.0,5431.625,300046.609375,1.618235,92.84375,0.0,0.0,45.0,5,20,0,61.99687500001164,101341.21562500001
1448,11:31:45,-3.0187513064516134,0.7330782274193548,0.13754918387096776,255.06451612903226,6298.645161290323,300111.48064516124,1.610799129032258,92.7741935483871,130.83870967741936,144.58064516129033,44.225806451612904,5,20,0,64.8712701612385,101406.08689516125
1449,11:31:46,-3.020079078125,0.96652055625,0.283292478125,277.125,6863.59375,300184.234375,1.59619946875,89.875,289.375,277.71875,44.0,5,208,0,72.7537298387615,101478.84062500001
1450,11:31:47,-3.0299467187499998,1.224250828125,0.2031931125,272.40625,6745.1875,300264.171875,1.738291125,85.8125,299.0,106.65625,44.0,5,208,0,79.9375,101558.77812500001
1451,11:31:48,-3.092297241935484,1.3369570161290323,0.15038052580645161,271.83870967741933,6723.096774193548,300338.03870967746,2.139323225806452,68.80645161290323,296.4516129032258,4.387096774193548,44.0,5,204,0,73.8668346774648,101632.64495967748
1452,11:31:49,-3.175181515625,1.419904140625,0.1012509,270.5,6695.5,300413.8,2.6697495,54.5,273.0,-70.5,44.0,5,204,0,75.76129032252356,101708.40625
1453,11:31:50,-3.310373984375,1.449233328125,0.197449934375,280.5,6961.25,300490.86874999997,0.3915194062500001,79.125,266.5625,128.59375,43.03125,5,264,0,77.06874999997672,101785.47499999998
1454,11:31:51,-3.561009109375,1.44891346875,0.284023725,285.03125,7071.59375,300571.040625,-3.1064333125,97.03125,268.65625,299.0,43.0,5,264,0,80.17187500005821,101865.64687500003
1455,11:31:52,-3.85790153125,1.44206596875,0.29784995937500003,280.53125,6951.15625,300647.934375,-3.1302337812500003,99.15625,296.96875,299.0,43.0,5,264,0,76.89374999998836,101942.54062500002
1456,11:31:53,-4.115929741935484,1.4382321774193547,0.2990731,280.03225806451616,6946.419354838709,300724.81935483875,-3.130443451612903,100.0,299.0,299.0,43.25806451612903,5,260,0,76.88497983873822,102019.42560483876
1457,11:31:54,-4.344798218749999,1.43645709375,0.163176720625,260.0,6423.75,300798.3875,-3.1268105625000002,100.0,163.1875,163.1875,44.0,5,260,0,73.56814516126178,102092.99375000002
1458,11:31:55,-4.4574285,1.433849515625,0.09316785,253.625,6261.15625,300868.91875,-3.1259401875,100.0,93.53125,93.53125,44.0,5,260,0,70.53125,102163.52500000002
1459,11:31:56,-4.53431690625,1.4326211875000001,0.0127893065625,233.59375,5751.9375,300938.553125,-3.125449,100.0,12.59375,12.59375,44.59375,5,260,1,69.63437499996508,102233.15937499999
1460,11:31:57,-4.53613,1.432609,0.0,221.0,5431.0,301000.365625,-3.125449,100.0,0.0,0.0,45.0,5,260,0,61.8125,102294.97187499999
1461,11:31:58,-4.5355429032258066,1.432609,0.0,221.0,5431.0,301063.0483870968,-3.125449,100.0,0.0,0.0,45.0,5,260,0,62.68276209681062,102357.6546370968
1462,11:31:59,-4.533613870967741,1.4301767419354838,0.0,221.0,5431.0,301124.0903225806,-3.125449,100.0,0.0,0.0,45.0,5,260,0,61.04193548380863,102418.69657258061
1463,11:32:00,-4.53353,1.430009,0.0,221.0,5432.875,301184.184375,-3.125449,100.0,0.0,0.0,45.0,5,260,0,60.094052419415675,102478.79062500002
1464,11:32:01,-4.53353,1.430009,0.0,221.0,5433.0625,301245.365625,-3.125449,100.0,0.0,0.0,45.0,5,260,0,61.181249999965075,102539.97187499999
1465,11:32:02,-4.5340175,1.4304965,0.0,221.0,5432.90625,301306.753125,-3.125449,100.0,0.0,0.0,45.0,5,260,0,61.38750000001164,102601.359375
1466,11:32:03,-4.53613,1.432609,0.0,223.125,5486.875,301367.76875,-3.125449,100.0,0.0,0.0,44.875,2,262,0,61.015625,102662.375
1467,11:32:04,-4.533739677419355,1.432609,0.0,245.3548387096774,6064.935483870968,301429.19677419355,-3.125449,100.0,0.0,0.0,44.0,2,262,0,61.42802419356303,102723.80302419356
1468,11:32:05,-4.5306204999999995,1.437129,-0.00063813645,262.5,6486.0,301500.85,2.9582955,100.0,-98.5,97.0,44.0,2,262,0,71.65322580642533,102795.45624999999
1469,11:32:06,-4.5283643125,1.43120709375,-0.0004254243,261.65625,6480.4375,301577.703125,2.59174675,100.0,-100.0,99.0,44.0,2,262,0,76.85312500002328,102872.30937500001
1470,11:32:07,-4.526377129032258,1.4305279677419356,-0.0004254243,263.7741935483871,6526.290322580645,301649.95806451613,2.2175359354838706,99.61290322580645,-100.0,99.0,44.0,2,262,0,72.25493951613316,102944.56431451614
1471,11:32:08,-4.52114853125,1.4335384375,-0.0004254243,263.15625,6517.0,301722.240625,1.9082982187500002,99.0,-100.0,99.0,44.0,2,262,0,72.28256048384355,103016.84687499999
1472,11:32:09,-4.511788870967742,1.4316020967741936,-0.0004254243,263.1290322580645,6516.774193548387,301795.4709677419,1.539499612903226,99.25806451612904,-100.0,99.0,44.0,2,262,0,73.23034274193924,103090.07721774193
1473,11:32:10,-4.51485853125,1.43331890625,-0.0004254243,262.78125,6507.8125,301867.403125,1.2102410875,99.8125,-100.0,99.0,44.0,2,262,0,71.93215725809569,103162.00937500002
1474,11:32:11,-4.512486,1.43731853125,-0.0004254243,262.65625,6510.1875,301940.240625,0.8396680625,98.75,-99.25,98.375,44.0,2,262,0,72.83749999996508,103234.84687499999
1475,11:32:12,-4.51464078125,1.4368519687499999,-0.0004254243,261.1875,6471.46875,302012.75625,0.54404063125,96.46875,-85.21875,84.625,44.0,2,262,0,72.515625,103307.36249999999
1476,11:32:13,-4.515165258064516,1.42484,-0.0004254243,259.61290322580646,6421.709677419355,302084.77419354836,0.2706567064516129,97.0,-58.83870967741935,57.83870967741935,44.0,2,262,0,72.01794354838785,103379.38044354838
1477,11:32:14,-4.5155991562499995,1.42601690625,-0.0004254223,257.65625,6369.21875,302159.0125,0.10422854218750001,98.0,-49.0,48.0,44.0,2,262,0,74.23830645164708,103453.61875000002
1478,11:32:15,-4.484332640625,1.432687109375,0.13669404235625,267.375,6626.0625,302230.275,0.021737643125,96.6875,136.625,136.6875,43.625,2,262,0,71.26250000001164,103524.88125000003
1479,11:32:16,-4.269131609375,1.435977921875,0.292266265625,277.1875,6883.28125,302306.93125,0.0265225240625,95.65625,295.71875,288.34375,43.0,2,262,0,76.65625,103601.53750000003
1480,11:32:17,-3.9725748750000003,1.445883359375,0.29828866875,279.75,6939.5625,302385.753125,0.0313198634375,94.71875,297.875,298.8125,43.0,2,266,0,78.82187499996508,103680.359375
1481,11:32:18,-3.71173984375,1.4522810625,0.29832855,280.59375,6962.3125,302463.115625,0.0300826415625,94.4375,297.46875,299.0,43.0,2,266,0,77.36249999998836,103757.72187499999
1482,11:32:19,-3.408867125,1.456865875,0.28947444375,276.5625,6868.0625,302538.89375,0.036297384999999995,96.125,297.25,281.875,43.125,2,198,0,75.77812500001164,103833.5
1483,11:32:20,-3.210621629032258,1.4876725000000002,0.146469365483871,271.0,6718.419354838709,302614.8032258064,0.2722833870967742,89.16129032258064,278.06451612903226,15.129032258064516,43.38709677419355,2,198,0,75.90947580640204,103909.4094758064
1484,11:32:21,-3.130342375,1.543812046875,0.10550515,272.5,6753.0,302688.05,0.7990409,74.0,275.5,-64.0,43.0,2,198,0,73.24677419359796,103982.65625
1485,11:32:22,-3.08277175,1.6413560625,0.17612553125,274.5,6808.5625,302766.175,1.3533601875,79.6875,299.0,53.375,43.0,2,202,0,78.125,104060.78125
1486,11:32:23,-3.0898760312499998,1.80409125,0.256331278125,284.1875,7061.875,302844.69375,1.6237003125,80.9375,266.90625,245.15625,43.0,2,280,0,78.51874999998836,104139.29999999999
1487,11:32:24,-3.084865390625,2.1124991875,0.283119659375,288.78125,7173.9375,302922.8625,1.572954625,92.90625,266.6875,298.75,43.0,2,280,0,78.16875000001164,104217.46875
1488,11:32:25,-3.07797796875,2.374618359375,0.296254625,279.78125,6953.28125,303001.65,1.5532140625,94.34375,298.0625,294.125,43.0,2,280,0,78.78750000003492,104296.25625000003
1489,11:32:26,-3.080693765625,2.6627642968750003,0.29664014375,278.15625,6904.0625,303079.465625,1.558081625,93.5,299.0,293.75,43.0,2,280,0,77.81562499998836,104374.07187500002
1490,11:32:27,-3.0682855806451617,2.9446693387096774,0.2945168935483871,278.51612903225805,6912.387096774193,303157.9129032258,1.5725574193548386,95.03225806451613,299.0,289.83870967741933,43.0,2,280,0,78.44727822579443,104452.51915322582
1491,11:32:28,-3.066961171875,3.239782140625,0.2970789,279.21875,6942.78125,303233.915625,1.5885970624999999,97.09375,299.0,294.78125,43.0,2,280,0,76.0027217742172,104528.52187500003
1492,11:32:29,-3.074456435483871,3.4798597258064516,0.2990867741935484,280.258064516129,6955.354838709677,303310.75483870966,1.5910543548387097,98.0,298.96774193548384,299.0,43.0,2,280,0,76.83921370963799,104605.36108870967
1493,11:32:30,-3.0835724696969695,3.799073651515151,0.2990601575757576,280.969696969697,6983.151515151515,303390.13333333336,1.5892746969696971,98.0,298.4848484848485,299.0,43.0,2,280,0,79.37849462369923,104684.73958333337
1494,11:32:31,-3.089400451612903,4.07382314516129,0.2994985,278.5806451612903,6910.4838709677415,303469.2967741935,1.5888660000000001,98.0,299.0,299.0,43.0,2,280,0,79.16344086016761,104763.90302419354
1495,11:32:32,-3.09426153125,4.36599003125,0.2989667125,279.5,6943.125,303546.0,1.589305125,98.375,299.0,298.625,43.0,2,280,0,76.70322580647189,104840.60625000001
1496,11:32:33,-3.097424483870968,4.627766822580645,0.2984280677419355,279.4516129032258,6947.032258064516,303623.6419354839,1.5924404516129032,99.0,299.0,297.19354838709677,43.0,2,280,0,77.64193548390176,104918.24818548391
1497,11:32:34,-3.103166390625,4.912735953125,0.299312365625,279.0,6926.09375,303700.040625,1.5957000625,99.0,299.0,298.78125,43.0,2,280,0,76.39868951612152,104994.64687500003
1498,11:32:35,-3.1068142031250003,5.214188624999999,0.29858115,278.21875,6917.8125,303779.6875,1.59837853125,98.28125,299.0,297.65625,43.0,2,280,0,79.64687499997672,105074.29375000001
1499,11:32:36,-3.1152415967741938,5.474148145161291,0.29871624838709676,278.16129032258067,6915.935483870968,303854.9903225806,1.5987481935483872,98.0,297.80645161290323,299.0,43.0,2,280,0,75.30282258061925,105149.59657258063
1500,11:32:37,-3.12197075,5.7630321718749995,0.298873646875,279.1875,6933.0625,303931.265625,1.59675534375,98.0,298.5625,298.96875,43.0,2,280,0,76.27530241938075,105225.87187500001
1501,11:32:38,-3.1268558125,6.0467221875,0.29907305,280.0,6949.5,304010.2,1.5983649999999998,98.0,299.0,298.5,43.0,2,276,0,78.93437500001164,105304.80625000002
1502,11:32:39,-3.136325296875,6.32503684375,0.29907305,278.34375,6919.75,304090.303125,1.59746328125,98.0,298.46875,299.0,43.0,2,276,0,80.10312499996508,105384.90937499999
1503,11:32:40,-3.142008967741935,6.624464951612904,0.2993338290322581,280.4516129032258,6973.580645161291,304166.9290322581,1.5968764193548386,98.0,299.0,299.0,43.0,2,276,0,76.62590725813061,105461.53528225812
1504,11:32:41,-3.148483453125,6.912923609375,0.29894013124999996,281.4375,6995.78125,304245.109375,1.59735940625,98.84375,299.0,299.0,43.0,2,276,0,78.18034274189267,105539.71562500001
1505,11:32:42,-3.1534144375,7.169644609375,0.299086371875,279.96875,6969.90625,304322.5,1.59764615625,99.78125,299.0,299.0,43.0,2,276,0,77.390625,105617.10625000001
1506,11:32:43,-3.16149009375,7.470786125,0.2994187375,279.9375,6956.53125,304401.096875,1.5971091874999999,100.0,299.0,299.0,43.0,2,276,0,78.59687499998836,105695.703125
1507,11:32:44,-3.16963525,7.7373020468750004,0.299033209375,280.03125,6967.5,304477.696875,1.597361125,100.0,298.90625,299.0,43.0,2,276,0,76.60000000003492,105772.30312500003
1508,11:32:45,-3.177966796875,8.04688284375,0.296985834375,277.6875,6905.71875,304556.934375,1.5951505,99.9375,294.71875,299.0,43.0,2,276,0,79.23749999998836,105851.54062500002
1509,11:32:46,-3.1768621875,8.2721876875,0.23653575,273.0,6786.5,304632.15,1.5288119999999998,99.0,173.5,299.0,43.0,2,276,0,75.21562500001164,105926.75625000003
1510,11:32:47,-3.1361790000000003,8.454312870967742,0.13015227096774196,270.83870967741933,6723.322580645161,304711.60000000003,1.0648160903225807,96.09677419354838,-28.903225806451612,289.06451612903226,43.0,2,276,0,79.45000000001164,106006.20625000005
1511,11:32:48,-3.080374859375,8.517255234375,0.08657378125,271.25,6740.59375,304784.609375,0.527382575,89.53125,-81.96875,255.1875,43.0,2,276,0,73.00937499996508,106079.21562500001
1512,11:32:49,-2.979317234375,8.543425765624999,0.14598689375,275.0625,6838.84375,304860.2125,0.03286490771875,88.6875,102.0,189.8125,43.0,2,276,0,75.60312500002328,106154.81875000003
1513,11:32:50,-2.830797,8.561512562499999,0.15570516875,271.6875,6745.0625,304935.775,0.255393521621875,92.375,296.8125,13.71875,43.0,2,276,0,75.5625,106230.38125000003
1514,11:32:51,-2.7011026612903226,8.638770435483872,0.14295617096774194,271.83870967741933,6751.1612903225805,305011.4,0.8002705032258065,85.35483870967742,299.0,-13.548387096774194,43.0,2,276,0,75.625,106306.00625000003
1515,11:32:52,-2.655051806451613,8.757792516129031,0.1722006677419355,274.61290322580646,6824.1612903225805,305086.2419354839,1.3153119032258065,86.48387096774194,299.0,44.70967741935484,43.0,2,276,0,74.8419354838552,106380.84818548389
1516,11:32:53,-2.65287790625,8.94410328125,0.23972644062499998,280.65625,6978.8125,305162.209375,1.62710509375,93.3125,260.9375,218.375,43.0,2,8,0,75.96743951609824,106456.81562499999
1517,11:32:54,-2.65637421875,9.208693953125,0.28120525,282.5,7025.0,305242.69999999995,1.575878,97.5,263.0,299.0,43.0,2,8,0,80.49062499997672,106537.30624999997
1518,11:32:55,-2.6540579032258065,9.480598483870967,0.2974811258064516,282.80645161290323,7032.258064516129,305323.7419354839,1.552168064516129,97.45161290322581,299.0,296.258064516129,43.0,2,8,0,81.04193548392504,106618.34818548389
1519,11:32:56,-2.6579479687500003,9.784642828125,0.297358065625,278.6875,6934.03125,305401.490625,1.55562771875,98.90625,299.0,295.46875,43.0,2,8,0,77.74868951609824,106696.09687499999
1520,11:32:57,-2.6532456774193545,10.03915106451613,0.2965205,276.96774193548384,6893.741935483871,305476.03225806454,1.5655536774193548,99.0,299.0,294.0,43.0,2,8,0,74.54163306456758,106770.63850806456
1521,11:32:58,-2.6527331875,10.339234843749999,0.29695921875,277.4375,6893.15625,305554.0125,1.57507125,99.78125,299.0,294.25,43.0,2,8,0,77.98024193546735,106848.61875000002
1522,11:32:59,-2.649698515625,10.6144496875,0.29759739375,279.0,6932.34375,305630.928125,1.5856685625,99.46875,299.0,295.53125,43.0,2,4,0,76.91562499996508,106925.53437499999
1523,11:33:00,-2.647417,10.91714296875,0.29820890625,278.46875,6930.25,305707.88125,1.5967385,100.0,299.0,296.96875,43.0,2,4,0,76.953125,107002.48749999999
1524,11:33:01,-2.653184015625,11.168775625,0.29915282187500003,279.21875,6943.125,305785.128125,1.5998239062500001,100.0,299.0,298.59375,43.0,2,4,0,77.24687500001164,107079.734375
1525,11:33:02,-2.659193078125,11.48215328125,0.29907305,280.0,6975.5,305861.80000000005,1.600896,100.0,299.0,298.5,43.0,2,4,0,76.67187500005821,107156.40625000006
1526,11:33:03,-2.6681208125,11.7369571875,0.298674240625,281.875,7017.75,305942.55,1.60073375,100.0,298.0625,299.0,43.0,2,4,0,80.74999999994179,107237.15625
1527,11:33:04,-2.671789828125,12.035617968750001,0.2556133625,273.53125,6806.84375,306020.203125,1.57703703125,99.1875,212.0,299.0,43.0,2,30,0,77.65312500001164,107314.80937500001
1528,11:33:05,-2.6554655806451612,12.205379677419353,0.15606198709677419,272.96774193548384,6787.580645161291,306095.1,1.2477592580645163,96.58064516129032,13.580645161290322,298.03225806451616,43.0,2,30,0,74.89687499997672,107389.70624999999
1529,11:33:06,-2.58397096875,12.297352499999999,0.125127853125,273.28125,6789.21875,306170.903125,0.68337973125,98.0625,-38.6875,288.8125,43.0,2,30,0,75.80312500003492,107465.50937500002
1530,11:33:07,-2.4734370625,12.34109078125,0.142184709375,273.25,6800.0625,306247.446875,0.21195646406250002,96.375,39.0,245.125,43.0,2,30,0,76.54375000001164,107542.05312500003
1531,11:33:08,-2.328118338709677,12.364937419354838,0.12172618387096774,271.9032258064516,6753.4838709677415,306320.2129032258,0.17370637258064517,90.35483870967742,256.03225806451616,-12.35483870967742,43.0,2,30,0,72.76602822577115,107614.8191532258
1532,11:33:09,-2.239417859375,12.44110296875,0.104361840625,272.78125,6790.375,306397.015625,0.7411493031249999,89.46875,276.8125,-67.9375,43.0,2,30,0,76.80272177420557,107691.62187500001
1533,11:33:10,-2.196227984375,12.52545828125,0.140708965625,272.25,6771.25,306472.75625,1.3117068125,88.0625,291.96875,-10.59375,43.0,2,30,0,75.74062499997672,107767.36249999999
1534,11:33:11,-2.197303359375,12.6968228125,0.2225898,278.59375,6930.03125,306551.440625,1.6567764375,93.34375,243.21875,202.3125,43.0,2,30,0,78.68437500001164,107846.046875
1535,11:33:12,-2.2084250161290324,12.943599516129034,0.27424754838709675,287.48387096774195,7162.548387096775,306632.1548387096,1.5890313870967743,97.38709677419355,248.6451612903226,299.0,42.45161290322581,2,30,0,80.71421370963799,107926.76108870964
1536,11:33:13,-2.2088340625000003,13.2294721875,0.2967199625,279.71875,6959.3125,306709.034375,1.55466434375,96.78125,296.25,296.9375,43.0,2,30,0,76.87953629036201,108003.640625
1537,11:33:14,-2.209308140625,13.50219,0.296586996875,278.59375,6939.21875,306786.878125,1.55853484375,94.09375,299.0,293.875,43.0,2,30,0,77.84375,108081.484375
1538,11:33:15,-2.2107313225806453,13.802228225806452,0.29715176451612907,278.7741935483871,6940.741935483871,306864.00322580646,1.5637064838709678,93.93548387096774,299.0,295.03225806451616,42.806451612903224,2,34,0,77.12510080647189,108158.60947580647
1539,11:33:16,-2.206694046875,14.054905,0.297118771875,278.28125,6938.34375,306940.096875,1.57527059375,95.65625,299.0,294.53125,42.65625,2,34,0,76.09364919352811,108234.703125
1540,11:33:17,-2.204738796875,14.34738453125,0.297358071875,280.28125,6977.09375,307018.303125,1.58389296875,95.28125,299.0,295.375,43.0,2,34,0,78.20624999998836,108312.90937499999
